Ottoneu ID,Name,FG ID,FG Minor ID,MLBAM ID,Birthday,Positions,Bats,Throws,Last Check,Confidence,wOBA,vs LHP,vs RHP,q1,q2,q3,q4,q5
3435,Andrew McCutchen,9847,sa290131,457705,10 Oct 1986,Util,R,R,18 Jun 2025,Projection,0.314,0.322,0.310,,,,,
4374,Paul Goldschmidt,9218,sa501577,502671,10 Sep 1987,1B,R,R,18 Jun 2025,Projection,0.328,0.344,0.321,,,,,
4980,Travis d'Arnaud,7739,sa389876,518595,10 Feb 1989,C,R,R,18 Jun 2025,Projection,0.311,0.321,0.297,,,,,
5201,Giancarlo Stanton,4949,sa390316,519317,8 Nov 1989,Util,R,R,18 Jun 2025,Projection,0.328,0.342,0.340,,,,,
5680,Freddie Freeman,5361,sa390291,518692,12 Sep 1989,1B,L,R,18 Jun 2025,Projection,0.368,0.334,0.380,,,,,
5918,Jose Altuve,5417,sa455591,514888,6 May 1990,2B,R,R,18 Jun 2025,Projection,0.334,0.340,0.330,,,,,
6130,Marcell Ozuna,10324,sa503013,542303,12 Nov 1990,Util,R,R,18 Jun 2025,Projection,0.351,0.354,0.350,,,,,
6305,Mike Trout,10155,sa500736,545361,7 Aug 1991,OF,R,R,18 Jun 2025,Projection,0.355,0.360,0.342,,,,,
8626,Salvador Perez,7304,sa392995,521692,10 May 1990,C/1B,R,R,18 Jun 2025,Projection,0.317,0.326,0.303,,,,,
9668,Eugenio Suárez,12552,sa505033,553993,18 Jul 1991,3B,R,R,18 Jun 2025,Projection,0.320,0.324,0.323,,,,,
12379,Nolan Arenado,9777,sa500816,571448,16 Apr 1991,3B,R,R,18 Jun 2025,Projection,0.322,0.328,0.319,,,,,
12398,Willson Contreras,11609,sa508176,575929,13 May 1992,C,R,R,18 Jun 2025,Projection,0.346,0.353,0.330,,,,,
13117,Xander Bogaerts,12161,sa550735,593428,1 Oct 1992,2B/SS,R,R,18 Jun 2025,Projection,0.331,0.336,0.319,,,,,
13702,Jurickson Profar,10815,sa549315,595777,20 Feb 1993,OF,B,R,18 Jun 2025,Projection,0.334,0.337,0.339,,,,,
14864,J.T. Realmuto,11739,sa548255,592663,18 Mar 1991,C,R,R,18 Jun 2025,Projection,0.316,0.320,0.306,,,,,
14893,Christian Yelich,11477,sa548190,592885,5 Dec 1991,OF,L,R,18 Jun 2025,Projection,0.347,0.320,0.351,,,,,
14895,Joc Pederson,11899,sa549081,592626,21 Apr 1992,Util,L,L,18 Jun 2025,Projection,0.348,0.306,0.342,,,,,
14934,Manny Machado,11493,sa548155,592518,6 Jul 1992,3B,R,R,18 Jun 2025,Projection,0.344,0.354,0.339,,,,,
14982,Bryce Harper,11579,sa548033,547180,16 Oct 1992,1B,L,R,18 Jun 2025,Projection,0.375,0.344,0.381,,,,,
18122,Francisco Lindor,12916,sa597754,596019,14 Nov 1993,SS,B,R,18 Jun 2025,Projection,0.344,0.352,0.341,,,,,
18124,George Springer,12856,sa526414,543807,19 Sep 1989,OF,R,R,18 Jun 2025,Projection,0.321,0.326,0.315,,,,,
18126,Brandon Nimmo,12927,sa597760,607043,27 Mar 1993,OF,L,R,18 Jun 2025,Projection,0.339,0.310,0.351,,,,,
18160,Carlos Correa,14162,sa657850,621043,22 Sep 1994,SS,R,R,18 Jun 2025,Projection,0.345,0.357,0.323,,,,,
18162,Jorge Soler,14221,sa658226,624585,25 Feb 1992,OF,R,R,18 Jun 2025,Projection,0.334,0.345,0.313,,,,,
18163,Byron Buxton,14161,sa657851,621439,18 Dec 1993,OF,R,R,18 Jun 2025,Projection,0.332,0.337,0.323,,,,,
18216,Corey Seager,13624,sa657913,608369,27 Apr 1994,SS,L,R,18 Jun 2025,Projection,0.365,0.329,0.379,,,,,
18239,Jesse Winker,13590,sa657865,608385,17 Aug 1993,OF,L,L,18 Jun 2025,Projection,0.336,0.303,0.344,,,,,
18254,Tyrone Taylor,13675,sa657979,621438,22 Jan 1994,OF,R,R,18 Jun 2025,Projection,0.306,0.313,0.296,,,,,
18255,Max Muncy,13301,sa503373,571970,25 Aug 1990,3B,L,R,18 Jun 2025,Projection,0.329,0.310,0.340,,,,,
18263,Marcus Semien,12533,sa546772,543760,17 Sep 1990,2B,R,R,18 Jun 2025,Projection,0.327,0.331,0.318,,,,,
18272,J.P. Crawford,15491,sa737507,641487,11 Jan 1995,SS,L,R,18 Jun 2025,Projection,0.319,0.301,0.339,,,,,
18276,Mookie Betts,13611,sa597889,605141,7 Oct 1992,2B/SS/OF,R,R,18 Jun 2025,Projection,0.366,0.366,0.361,,,,,
18284,José Ramírez,13510,sa598784,608070,17 Sep 1992,3B,B,R,18 Jun 2025,Projection,0.359,0.358,0.361,,,,,
18312,Aaron Judge,15640,sa549847,592450,26 Apr 1992,OF,R,R,18 Jun 2025,Projection,0.404,0.419,0.397,,,,,
18328,Ryan McMahon,15112,sa737539,641857,14 Dec 1994,3B,L,R,18 Jun 2025,Projection,0.304,0.278,0.310,,,,,
18344,Rafael Devers,17350,sa828312,646240,24 Oct 1996,3B,L,R,18 Jun 2025,Projection,0.357,0.312,0.379,,,,,
18347,Kyle Schwarber,16478,sa709545,656941,5 Mar 1993,OF,L,R,18 Jun 2025,Projection,0.350,0.320,0.366,,,,,
18365,Michael Conforto,16376,sa709038,624424,1 Mar 1993,OF,L,R,18 Jun 2025,Projection,0.325,0.299,0.323,,,,,
18368,Trea Turner,16252,sa599179,607208,30 Jun 1993,SS,R,R,18 Jun 2025,Projection,0.337,0.343,0.336,,,,,
18378,Matt Chapman,16505,sa828672,656305,28 Apr 1993,3B,R,R,18 Jun 2025,Projection,0.334,0.345,0.324,,,,,
18386,Matt Olson,14344,sa657863,621566,29 Mar 1994,1B,L,R,18 Jun 2025,Projection,0.355,0.326,0.362,,,,,
18389,Christian Walker,13419,sa503826,572233,28 Mar 1991,1B,R,R,18 Jun 2025,Projection,0.340,0.346,0.318,,,,,
18397,Ozzie Albies,16556,sa830219,645277,7 Jan 1997,2B,B,R,18 Jun 2025,Projection,0.333,0.337,0.323,,,,,
18407,Willy Adames,15986,sa736655,642715,2 Sep 1995,SS,R,R,18 Jun 2025,Projection,0.327,0.329,0.316,,,,,
18408,Alex Verdugo,17027,sa828699,657077,15 May 1996,OF,R,R,18 Jun 2025,Projection,0.312,0.285,0.319,,,,,
18433,Orlando Arcia,13185,sa596917,606115,4 Aug 1994,SS,R,R,18 Jun 2025,Projection,0.301,0.309,0.293,,,,,
18466,Ketel Marte,13613,sa597026,606466,12 Oct 1993,2B,B,R,18 Jun 2025,Projection,0.363,0.366,0.363,,,,,
18479,Ian Happ,17919,sa827194,664023,12 Aug 1994,OF,B,R,18 Jun 2025,Projection,0.335,0.318,0.341,,,,,
18480,Alex Bregman,17678,sa659419,608324,30 Mar 1994,3B,R,R,18 Jun 2025,Projection,0.343,0.349,0.341,,,,,
18487,Gleyber Torres,16997,sa830372,650402,13 Dec 1996,2B,R,R,18 Jun 2025,Projection,0.325,0.333,0.328,,,,,
18506,Dansby Swanson,18314,sa659260,621020,11 Feb 1994,SS,R,R,18 Jun 2025,Projection,0.314,0.326,0.306,,,,,
18516,Victor Robles,18363,sa828409,645302,19 May 1997,OF,R,R,18 Jun 2025,Projection,0.312,0.319,0.310,,,,,
18517,Yandy Díaz,16578,sa823741,650490,8 Aug 1991,1B,R,R,18 Jun 2025,Projection,0.357,0.362,0.341,,,,,
18546,Kyle Tucker,18345,sa874240,663656,17 Jan 1997,OF,L,R,18 Jun 2025,Projection,0.369,0.345,0.384,,,,,
18548,Ke'Bryan Hayes,18577,sa874730,663647,28 Jan 1997,3B,R,R,18 Jun 2025,Projection,0.306,0.320,0.289,,,,,
18549,Vladimir Guerrero Jr.,19611,sa920245,665489,16 Mar 1999,1B/3B,R,R,18 Jun 2025,Projection,0.386,0.398,0.371,,,,,
18644,Jeff McNeil,15362,sa709024,643446,8 Apr 1992,2B/OF,L,R,18 Jun 2025,Projection,0.323,0.303,0.347,,,,,
19285,Victor Caratini,14968,sa737618,605170,17 Aug 1993,C/1B,B,R,18 Jun 2025,Projection,0.316,0.303,0.316,,,,,
19296,Tyler O'Neill,15711,sa737633,641933,22 Jun 1995,OF,R,R,18 Jun 2025,Projection,0.324,0.341,0.310,,,,,
19328,Cody Bellinger,15998,sa737794,641355,13 Jul 1995,1B/OF,L,L,18 Jun 2025,Projection,0.324,0.303,0.336,,,,,
19360,Jonah Heim,16930,sa737843,641680,27 Jun 1995,C,B,R,18 Jun 2025,Projection,0.296,0.303,0.286,,,,,
20291,Luis Rengifo,19858,sa826671,650859,26 Feb 1997,2B/3B,B,R,18 Jun 2025,Projection,0.318,0.322,0.304,,,,,
20545,Luis Arraez,18568,sa828153,650333,9 Apr 1997,1B/2B,L,R,18 Jun 2025,Projection,0.337,0.308,0.355,,,,,
21041,Lane Thomas,16939,sa828962,657041,23 Aug 1995,OF,R,R,18 Jun 2025,Projection,0.316,0.335,0.297,,,,,
21156,Ryan O'Hearn,16442,sa829141,656811,26 Jul 1993,1B/OF,L,L,18 Jun 2025,Projection,0.331,0.297,0.342,,,,,
21708,Willi Castro,17338,sa830274,650489,24 Apr 1997,2B/SS/3B/OF,B,R,18 Jun 2025,Projection,0.306,0.309,0.307,,,,,
21751,Eloy Jiménez,17484,sa830373,650391,27 Nov 1996,Util,R,R,18 Jun 2025,Projection,0.327,0.333,0.336,,,,,
21964,LaMonte Wade Jr.,18126,sa856280,664774,1 Jan 1994,1B/OF,L,L,18 Jun 2025,Projection,0.338,0.300,0.327,,,,,
22004,Jake Cronenworth,18036,sa857694,630105,21 Jan 1994,1B/2B,L,R,18 Jun 2025,Projection,0.317,0.288,0.332,,,,,
22048,Taylor Ward,17548,sa858832,621493,14 Dec 1993,OF,R,R,18 Jun 2025,Projection,0.329,0.339,0.318,,,,,
22219,Keibert Ruiz,19610,sa872528,660688,20 Jul 1998,C,B,R,18 Jun 2025,Projection,0.313,0.307,0.308,,,,,
22331,Jesús Sánchez,19913,sa872787,660821,7 Oct 1997,OF,L,R,18 Jun 2025,Projection,0.331,0.289,0.335,,,,,
22391,William Contreras,20503,sa872847,661388,24 Dec 1997,C,R,R,18 Jun 2025,Projection,0.357,0.364,0.342,,,,,
22616,Cedric Mullins,17929,sa873639,656775,1 Oct 1994,OF,L,L,18 Jun 2025,Projection,0.313,0.281,0.322,,,,,
22654,Tyler Stephenson,17988,sa874242,663886,16 Aug 1996,C,R,R,18 Jun 2025,Projection,0.317,0.327,0.299,,,,,
22655,Josh Naylor,18839,sa874243,647304,22 Jun 1997,1B,R,R,18 Jun 2025,Projection,0.339,0.306,0.355,,,,,
22670,Ryan Mountcastle,18373,sa874734,663624,18 Feb 1997,1B,R,R,18 Jun 2025,Projection,0.326,0.338,0.305,,,,,
22674,Austin Riley,18360,sa874756,663586,2 Apr 1997,3B,R,R,18 Jun 2025,Projection,0.355,0.361,0.338,,,,,
23327,Ronald Acuña Jr.,18401,sa877503,660670,18 Dec 1997,OF,R,R,18 Jun 2025,Projection,0.384,0.380,0.385,,,,,
23651,Teoscar Hernández,13066,sa596861,606192,15 Oct 1992,OF,R,R,18 Jun 2025,Projection,0.328,0.340,0.321,,,,,
23654,Will Smith,19197,sa873265,669257,28 Mar 1995,C,R,R,18 Jun 2025,Projection,0.332,0.336,0.337,,,,,
23682,Fernando Tatis Jr.,19709,sa919910,665487,2 Jan 1999,OF,R,R,18 Jun 2025,Projection,0.376,0.371,0.364,,,,,
23705,Andrés Giménez,19950,sa917114,665926,4 Sep 1998,2B,L,R,18 Jun 2025,Projection,0.313,0.293,0.319,,,,,
23714,Carson Kelly,13620,sa657963,608348,14 Jul 1994,C,R,R,18 Jun 2025,Projection,0.306,0.316,0.315,,,,,
23717,Juan Soto,20123,sa906282,665742,25 Oct 1998,OF,L,L,18 Jun 2025,Projection,0.413,0.369,0.426,,,,,
23745,Adolis García,19287,sa908695,666969,2 Mar 1993,OF,R,R,18 Jun 2025,Projection,0.319,0.326,0.307,,,,,
