Ottoneu ID,Fangraphs ID,Name,Birthday,Positions,Bats,Throws,wOBA,wOBA vs LHP,wOBA vs RHP
44286,sa3022963,A.J. Ewing,2004-08-10,OF,L,R,,0.272303082338105,0.3140054761463039
12258,9256,A.J. Pollock,1987-12-05,Util,R,R,,0.28803822484919944,0.2723812268902364
5770,5297,Aaron Hicks,1989-10-02,Util,B,R,,0.2929045555934718,0.29064287578127884
18312,15640,Aaron Judge,1992-04-26,OF,R,R,,0.42395410026977987,0.401157637972297
40697,sa3017665,Aaron Zavala,2000-06-24,OF,L,R,,0.23003495184075157,0.2738654308742804
40214,sa3016926,Abimelec Ortiz,2002-02-22,1B/OF,L,L,,0.2660530494139857,0.31369650854092723
32630,19844,Abraham Toro,1996-12-20,1B/3B,B,R,,0.2855982999740847,0.2869437614564696
38448,27962,Adael Amador,2003-04-11,2B,B,R,,0.2977010775256489,0.29598252552909343
13750,10950,Adam Duvall,1988-09-04,Util,R,R,,0.2941842770544003,0.27688141664385335
18636,15082,Adam Engel,1991-12-09,Util,R,R,,0.25467621828855025,0.23940264440029796
19348,15223,Adam Frazier,1991-12-14,2B/OF,L,R,,0.2538300137511379,0.2841372452178964
23802,19878,Adam Haseley,1996-04-12,Util,L,L,,0.24431179530999453,0.2796653214996692
34817,24598,Addison Barger,1999-11-12,3B/OF,L,R,,0.2824056130330922,0.3285908437707569
37257,26288,Adley Rutschman,1998-02-06,C,B,R,,0.3418236364414453,0.3320866893333924
23745,19287,Adolis Garcia,1993-03-02,OF,R,R,,0.31502900169861564,0.30553837792124144
40238,29554,Adrian Del Castillo,1999-09-27,Util,L,R,,0.26318452618695115,0.3027955211230676
36325,26546,Agustin Ramirez,2001-09-10,C,R,R,,0.32018601396928087,0.3122559215426553
44052,sa3022609,Aidan Miller,2004-06-09,SS,R,R,,0.2988484068861274,0.28763559782634485
47548,sa3026235,Aiva Arquette,2003-10-17,SS,R,R,,0.23386350185015195,0.22635720520069003
32586,22168,Akil Baddoo,1998-08-16,OF,L,L,,0.2565320805663757,0.30127339190336794
42410,31564,Alan Roden,1999-12-22,OF,L,R,,0.2929836683160617,0.3211268425978796
25704,20056,Alan Trejo,1996-05-30,SS/3B,R,R,,0.2713586106079505,0.2624107761277705
18186,14109,Albert Almora,1994-04-16,OF,R,R,,0.28473013213294224,0.27124315623004375
33609,21618,Alec Bohm,1996-08-03,1B/3B,R,R,,0.32897790105127855,0.3116742669021721
38368,27615,Alec Burleson,1998-11-25,1B/OF,L,L,,0.3052400177830668,0.35118813785222935
18310,15937,Aledmys Diaz,1990-08-01,Util,R,R,,0.27016034176499415,0.25746680668475624
27207,22581,Alejandro Kirk,1998-11-06,C,R,R,,0.34687507601957873,0.33862535799964794
38785,27915,Alejandro Osuna,2002-10-10,OF,L,L,,0.28618386176184757,0.31605700820316623
23091,21127,Alejo Lopez,1996-05-05,2B/3B/OF,B,R,,0.2918520556885108,0.28359422545879803
33681,23792,Alek Thomas,2000-04-28,OF,L,L,,0.2605200105212722,0.29555324584722004
18480,17678,Alex Bregman,1994-03-30,3B,R,R,,0.3452912307265313,0.33210557719968287
31855,19296,Alex Call,1994-09-27,OF,R,R,,0.3204779367838036,0.31233754223247967
,12649,Alex Dickerson,1990-05-26,,L,L,,0.25578996693970374,0.29642572219606
42713,31665,Alex Freeland,2001-08-24,2B/SS/3B,B,R,,0.29203616663311344,0.2977146796028855
18362,17276,Alex Jackson,1995-12-25,C,R,R,,0.28667144247722426,0.2710713412638862
18408,17027,Alex Verdugo,1996-05-15,OF,L,L,,0.27929866460344405,0.3140715285317088
26224,22842,Alexander Canario,2000-05-07,OF,R,R,,0.2951511669552721,0.2803698522824458
42988,sa3021066,Alfredo Duno,2006-01-07,C,R,R,,0.2794420808713897,0.2670769353594958
38338,27604,Alika Williams,1999-03-12,2B/SS/3B,R,R,,0.28378071703285274,0.27348175589948365
18303,15518,Amed Rosario,1995-11-20,2B/3B,R,R,,0.31813563067452577,0.3005562324917066
32087,21797,Andres Chaparro,1999-05-04,1B,R,R,,0.3175693230895862,0.3025927691241822
23705,19950,Andres Gimenez,1998-09-04,2B/SS,L,R,,0.2794231286930266,0.31059472172558067
18491,17901,Andrew Benintendi,1994-07-06,OF,L,L,,0.2817551876590862,0.3139262014423884
47657,sa3031366,Andrew Fischer,2004-05-25,Util,L,R,,0.19729005707878144,0.23945114331483763
18538,14942,Andrew Knapp,1991-11-09,Util,B,R,,0.2666308873863091,0.260769013379126
31629,19514,Andrew Knizner,1995-02-03,C,R,R,,0.2843742956680192,0.28074588021790015
3435,9847,Andrew McCutchen,1986-10-10,OF,R,R,,0.31056547600057444,0.2962218781293552
37469,26197,Andrew Vaughn,1998-04-03,1B,R,R,,0.33256568961749283,0.31149289600108937
30517,14196,Andrew Velazquez,1994-07-14,2B/SS,R,R,,0.25867867468938704,0.23737281721243272
21742,19455,Andruw Monasterio,1997-05-30,1B/2B/SS/3B,R,R,,0.30554226559623016,0.2909325009088634
23574,18819,Andy Ibanez,1993-04-03,2B/3B,R,R,,0.29570137855552314,0.284197435264445
33949,24816,Andy Pages,2000-12-08,OF,R,R,,0.3342852358911404,0.32340650063156506
39279,sa3015706,Angel Genao,2004-05-19,SS,B,R,,0.2880210515064192,0.2850727856813287
36046,26540,Angel Martinez,2002-01-27,2B/OF,B,R,,0.3094282221496702,0.29303751380021936
28132,13854,Anthony Bemboom,1990-01-18,Util,L,R,,0.23083097406103478,0.26652533543716
18120,12861,Anthony Rendon,1990-06-06,Util,R,R,,0.30305563292629883,0.2901826816114229
23856,14551,Anthony Santander,1994-10-19,OF,B,R,,0.3025611232257983,0.3206167043726009
36683,27647,Anthony Volpe,2001-04-28,SS,R,R,,0.31219676108577277,0.2958730460263373
23774,16925,Aramis Garcia,1993-01-12,C,R,R,,0.261585829649648,0.24528929827905832
,10711,Arismendy Alcantara,1991-10-29,,B,R,,0.2770947620957269,0.2758964113965412
43892,sa3022892,Arjun Nimmala,2005-10-16,SS,R,R,,0.2541905160166936,0.2447565817307735
31850,19292,Armando Alvarez,1994-07-14,3B,R,R,,0.2945465527726309,0.2786770394540628
22718,18083,Austin Allen,1994-01-16,Util,L,R,,0.24277356785426513,0.28489787315266474
18410,12158,Austin Barnes,1989-12-28,C,R,R,,0.276489438220354,0.2651322645792549
,18288,Austin Dean,1993-10-14,,R,R,,0.34271799025068994,0.3260578223228804
23805,19363,Austin Hays,1995-07-05,OF,R,R,,0.31051734891465904,0.29325854773395343
18207,12976,Austin Hedges,1992-08-18,C,R,R,,0.2707180009030661,0.25934434892187924
38323,27462,Austin Martin,1999-03-23,OF,R,R,,0.32373227566493656,0.31206533112279156
28021,15941,Austin Nola,1989-12-28,C,R,R,,0.2775146021908192,0.2652561876856352
22674,18360,Austin Riley,1997-04-02,3B,R,R,,0.3429428911563025,0.32328426530211024
36723,25425,Austin Shenton,1998-01-22,1B/3B,L,R,,0.2633025730448279,0.3060463603761501
23784,16153,Austin Slater,1992-12-13,OF,R,R,,0.3009810446890143,0.27896079724911543
38317,27562,Austin Wells,1999-07-12,C,L,R,,0.28047425788621794,0.317576483873984
18598,15271,Austin Wynns,1990-12-10,C,R,R,,0.27895064319394625,0.27306932096807957
6091,5760,Avisail Garcia,1991-06-12,Util,R,R,,0.2743383095167477,0.26203839415331326
,sa3012665,Baek-Ho Kang,1999-07-29,,L,R,,0.2676518939942569,0.3144472462923644
14899,12160,Ben Gamel,1992-05-17,OF,L,L,,0.25171824217893024,0.2970087980359007
40255,29576,Ben Rice,1999-02-22,C/1B,L,R,,0.32440980843331724,0.3594781965577027
32581,20287,Ben Rortvedt,1997-09-25,C,L,R,,0.24942517408668347,0.27760171575779996
43939,33197,Ben Williamson,2000-11-05,3B,R,R,,0.30369414607649275,0.294561674736396
40286,29573,Billy Cook,1999-01-07,1B/OF,R,R,,0.2803448619667574,0.26532115991284316
18436,15654,Billy McKinney,1994-08-23,OF,L,L,,0.2527831129558475,0.28862603574573487
36939,25714,Blaine Crim,1997-06-17,1B,R,R,,0.30599556931074323,0.28959336059409546
40136,29487,Blake Dunn,1998-09-05,OF,R,R,,0.2929736135776128,0.28519544230923116
44146,sa3022756,Blake Mitchell,2004-08-03,C,L,R,,0.21036716165282213,0.2561878853377823
22688,19921,Blake Perkins,1996-09-10,OF,B,R,,0.30750737733239913,0.2788638140660746
36981,25805,Blake Sabol,1998-01-07,C,L,R,,0.236525402982624,0.28118893783458726
35300,23789,Blaze Alexander,1999-06-11,2B/3B,R,R,,0.29799503749883016,0.2842563903631509
38316,sa3014537,Blaze Jordan,2002-12-19,1B/3B,R,R,,0.308896220524222,0.29933673108291015
26495,20054,Bligh Madris,1996-02-29,1B,L,R,,0.23654353368350797,0.27681523570857275
23767,19612,Bo Bichette,1998-03-05,SS,R,R,,0.34567885078926675,0.32945604694473674
44117,sa3022706,Bo Davidson,2002-07-05,OF,L,R,,0.265704057012785,0.3141866459338817
33676,21865,Bo Naylor,2000-02-21,C,L,R,,0.2774239896939458,0.3088231714920734
40808,30028,Bob Seymour,1998-10-07,1B,L,R,,0.25622723492067717,0.2990539112901833
23755,19966,Bobby Dalbec,1995-06-29,3B/OF,R,R,,0.28643111172879626,0.27216245866751115
36668,25764,Bobby Witt Jr.,2000-06-14,SS,R,R,,0.36274071068215563,0.3534852530168642
18156,12775,Brad Miller,1989-10-18,Util,L,R,,0.249771983333084,0.29479243953738593
45739,sa3038253,Braden Montgomery,2003-04-16,OF,B,R,,0.2912399761661042,0.289152201046737
37029,25817,Braden Shewmake,1997-11-19,SS,L,R,,0.23937333270274674,0.27609266806916866
18374,16221,Bradley Zimmer,1992-11-27,Util,L,R,,0.21428318558381707,0.25225658436119797
40261,29993,Brady House,2003-06-04,3B,R,R,,0.29821528191133806,0.2862655763452075
40498,sa3017332,Braiden Ward,1999-01-18,OF,L,R,,0.25865767146532553,0.296460796027365
8651,10264,Brandon Belt,1988-04-20,Util,L,L,,0.26765019326681666,0.3140744171215239
5071,5343,Brandon Crawford,1987-01-21,Util,L,R,,0.2384930101932744,0.2753536297628735
19298,15214,Brandon Dixon,1992-01-29,Util,R,R,,0.2868950329171643,0.2705859129850704
14120,11615,Brandon Drury,1992-08-21,Util,R,R,,0.27957788412452694,0.27084016816220613
34774,21496,Brandon Lockridge,1997-03-14,OF,R,R,,0.2953015049119118,0.2854039091838862
31741,18882,Brandon Lowe,1994-07-06,2B,L,R,,0.28879263241292097,0.3410938378723692
23868,20202,Brandon Marsh,1997-12-18,OF,L,R,,0.28386942866620063,0.33668874613277655
18126,12927,Brandon Nimmo,1993-03-27,OF,L,R,,0.3045381048162068,0.34343904978082906
40381,29704,Braxton Fulford,1998-12-09,C,R,R,,0.2978704385646126,0.28375752414416594
33650,23690,Brayan Rocchio,2001-01-13,2B/SS,B,R,,0.30386326301621097,0.3096332618940534
44246,sa3022921,Brayden Taylor,2002-05-22,2B/3B,L,R,,0.23176754922483392,0.276378302277386
46071,sa3025647,Braylon Payne,2006-08-14,OF,L,L,,0.2150593106081247,0.25877272115375893
34619,24679,Brendan Donovan,1997-01-16,2B/SS/OF,L,R,,0.30423023808283883,0.3466697563249751
18476,17907,Brendan Rodgers,1996-08-19,2B,R,R,,0.29792128254227523,0.27824163440041244
33675,sa3007876,Brennen Davis,1999-11-02,OF,R,R,,0.2951673863695448,0.2851892193538907
23793,19627,Brent Rooker,1994-11-01,OF,R,R,,0.3541553874189631,0.33307684963573503
36803,25479,Brenton Doyle,1998-05-14,OF,R,R,,0.28888509545600094,0.27085422379178076
