Abbr,Team,Venue,Year,Park Factor,wOBAcon,xwOBAcon,BACON,xBACON,HardHit,R,OBP,H,1B,2B,3B,HR,BB,SO,PA
MIL,"Brewers","American Family Field",2024-26,96,99,98,99,99,94,92,97,95,98,81,118,98,103,113,18236
LAA,"Angels","Angel Stadium",2024-26,97,96,95,96,96,97,94,98,96,96,91,84,100,101,100,14860
STL,"Cardinals","Busch Stadium",2024-26,96,94,99,97,100,102,92,98,101,107,102,71,80,91,91,17859
ARI,"D-backs","Chase Field",2024-26,100,99,98,100,100,102,100,101,104,103,117,212,75,94,93,18974
NYM,"Mets","Citi Field",2024-26,98,97,98,98,99,99,96,100,95,97,93,76,95,107,102,18480
PHI,"Phillies","Citizens Bank Park",2024-26,104,107,100,103,99,100,108,102,102,99,92,86,132,105,104,17981
DET,"Tigers","Comerica Park",2024-26,102,103,100,102,100,99,104,100,103,103,90,210,102,95,101,18382
COL,"Rockies","Coors Field",2024-26,114,113,102,113,102,101,130,113,117,114,117,180,117,110,89,16449
HOU,"Astros","Daikin Park",2024-26,103,107,103,104,101,104,106,102,100,98,92,72,127,108,110,13927
BOS,"Red Sox","Fenway Park",2024-26,103,101,100,103,101,102,106,104,105,101,138,83,81,98,92,19485
TEX,"Rangers","Globe Life Field",2024-26,93,92,99,93,100,100,86,94,95,97,90,82,90,94,99,17535
CIN,"Reds","Great American Ball Park",2024-26,105,108,100,105,101,95,110,103,103,99,103,77,127,105,105,15757
KCR,"Royals","Kauffman Stadium",2024-26,100,98,100,100,101,105,100,101,104,102,122,191,76,97,91,17356
WSN,"Nationals","Nationals Park",2024-26,102,101,105,102,104,104,104,102,105,107,103,92,101,94,92,19784
SFG,"Giants","Oracle Park",2024-26,97,97,98,100,99,98,94,98,101,102,108,147,75,95,99,17188
BAL,"Orioles","Oriole Park at Camden Yards",2024-26,105,106,102,104,100,104,110,102,106,105,97,101,126,94,96,20179
PIT,"Pirates","PNC Park",2024-26,102,101,102,101,101,104,104,103,102,98,128,71,90,100,97,16849
SDP,"Padres","Petco Park",2024-26,97,95,99,95,98,96,94,97,95,96,93,71,98,101,100,18504
CLE,"Guardians","Progressive Field",2024-26,97,97,96,96,97,94,94,96,96,95,99,44,105,97,101,22278
CHW,"White Sox","Rate Field",2024-26,101,98,99,98,98,94,102,102,96,96,89,93,103,112,97,17602
TOR,"Blue Jays","Rogers Centre",2024-26,99,100,100,99,100,97,98,97,98,94,110,74,107,93,105,17831
SEA,"Mariners","T-Mobile Park",2024-26,93,96,102,96,102,103,86,93,92,92,96,36,94,95,114,19635
MIN,"Twins","Target Field",2024-26,101,102,101,104,101,99,102,101,103,107,99,70,96,93,102,18970
TBR,"Rays","Tropicana Field",2024-26,92,93,96,95,98,90,85,94,94,100,81,99,82,99,106,8844
ATL,"Braves","Truist Park",2024-26,99,100,100,101,101,98,98,100,102,108,91,80,98,95,101,17424
LAD,"Dodgers","UNIQLO Field at Dodger Stadium",2024-26,100,101,104,98,103,104,100,98,96,92,96,68,121,102,104,20187
CHC,"Cubs","Wrigley Field",2024-26,97,99,100,100,99,102,94,98,98,100,85,140,97,98,107,18108
NYY,"Yankees","Yankee Stadium",2024-26,102,99,101,97,99,104,104,103,94,90,91,65,114,126,98,21013
MIA,"Marlins","loanDepot park",2024-26,101,101,100,102,99,102,102,102,103,106,103,122,91,99,99,18467
ATH,"Athletics","Sutter Health Park",2025-26,108,110,101,108,101,99,117,108,103,97,123,64,111,116,103,8641
