Abbr,Team,Venue,Year,Park Factor,wOBAcon,xwOBAcon,BACON,xBACON,HardHit,R,OBP,H,1B,2B,3B,HR,BB,SO,PA
MIL,"Brewers","American Family Field",2024-26,98,100,98,98,98,98,96,98,94,93,91,59,111,104,107,24002
LAA,"Angels","Angel Stadium",2024-26,102,105,100,104,100,99,104,101,100,99,92,99,113,100,108,25337
STL,"Cardinals","Busch Stadium",2024-26,99,96,99,98,100,103,98,100,104,107,111,82,81,94,89,22200
ARI,"D-backs","Chase Field",2024-26,108,106,105,104,104,104,117,106,107,102,118,193,109,103,89,22138
NYM,"Mets","Citi Field",2024-26,99,99,102,97,101,103,98,100,96,94,93,86,108,108,104,24149
PHI,"Phillies","Citizens Bank Park",2024-26,100,102,96,103,99,98,100,99,103,105,96,115,100,87,103,23870
DET,"Tigers","Comerica Park",2024-26,100,99,98,99,98,98,100,100,99,100,94,70,104,102,96,22215
COL,"Rockies","Coors Field",2024-26,111,111,100,112,101,100,123,109,118,118,122,218,101,91,92,25112
HOU,"Astros","Daikin Park",2024-26,100,101,97,100,98,96,100,99,99,98,99,69,110,96,104,26499
BOS,"Red Sox","Fenway Park",2024-26,101,103,98,105,99,98,102,103,103,107,101,88,87,97,103,22005
TEX,"Rangers","Globe Life Field",2024-26,91,91,97,91,96,101,83,91,91,93,89,73,87,97,105,22339
CIN,"Reds","Great American Ball Park",2024-26,102,102,101,100,100,95,104,100,99,95,103,61,119,107,101,24852
KCR,"Royals","Kauffman Stadium",2024-26,100,98,102,98,102,103,100,101,102,99,116,164,88,104,91,23147
WSN,"Nationals","Nationals Park",2024-26,100,99,99,100,100,101,100,100,101,104,95,109,94,97,96,21181
SFG,"Giants","Oracle Park",2024-26,98,96,97,99,98,97,96,99,102,104,107,130,81,91,95,23758
BAL,"Orioles","Oriole Park at Camden Yards",2024-26,102,104,104,104,103,106,104,101,105,104,106,181,101,88,102,21647
PIT,"Pirates","PNC Park",2024-26,99,98,99,101,101,101,98,101,102,105,111,87,72,99,97,24827
SDP,"Padres","Petco Park",2024-26,98,100,102,98,100,100,96,97,97,97,86,70,115,100,105,23035
CLE,"Guardians","Progressive Field",2024-26,99,101,101,103,103,99,98,101,98,99,108,62,83,108,110,18243
CHW,"White Sox","Rate Field",2024-26,97,95,98,97,98,98,94,98,98,102,96,54,88,99,97,23299
TOR,"Blue Jays","Rogers Centre",2024-26,103,101,101,100,100,103,106,103,103,103,101,72,111,103,91,25057
SEA,"Mariners","T-Mobile Park",2024-26,91,95,99,94,99,96,83,91,88,88,86,47,98,96,121,21488
MIN,"Twins","Target Field",2024-26,106,105,101,105,100,100,112,107,106,103,121,94,99,106,93,22602
TBR,"Rays","Tropicana Field",2024-26,97,97,99,96,98,93,94,96,97,97,89,145,104,92,103,13286
ATL,"Braves","Truist Park",2024-26,100,103,103,104,103,102,100,101,102,104,99,112,92,104,107,23454
LAD,"Dodgers","UNIQLO Field at Dodger Stadium",2024-26,103,102,102,98,101,99,106,100,99,95,92,70,135,106,96,23691
CHC,"Cubs","Wrigley Field",2024-26,94,92,99,92,99,100,88,94,91,93,77,92,100,105,100,24192
NYY,"Yankees","Yankee Stadium",2024-26,101,102,105,99,101,107,102,100,96,92,92,90,121,111,105,23412
MIA,"Marlins","loanDepot park",2024-26,99,97,100,98,100,99,98,100,99,98,109,142,84,100,95,24203
ATH,"Athletics","Sutter Health Park",2025-26,110,109,97,107,98,95,121,108,110,105,124,82,118,107,91,13458
