Ottoneu ID,Name,FG ID,FG Minor ID,MLBAM ID,Birthday,Positions,Bats,Throws,Last Check,Confidence,FIP,vs LHB,vs RHB,Type
2925,Clayton Kershaw,2036,sa326468,477132,19 Mar 1988,SP,L,L,18 Jun 2025,Projection,3.70,0.298,0.316,
4514,Max Scherzer,3137,sa326473,453286,27 Jul 1984,SP,R,R,18 Jun 2025,Projection,3.79,0.324,0.291,
4943,Kyle Gibson,10123,sa500733,502043,23 Oct 1987,SP,R,R,18 Jun 2025,Projection,4.20,0.337,0.320,
6106,Miles Mikolas,9803,sa501497,571945,23 Aug 1988,SP,R,R,18 Jun 2025,Projection,4.09,0.334,0.319,
9335,Nathan Eovaldi,9132,sa455169,543135,13 Feb 1990,SP,R,R,18 Jun 2025,Projection,3.25,0.302,0.292,
10626,José Quintana,11423,sa505541,500779,24 Jan 1989,SP,R,L,18 Jun 2025,Projection,4.60,0.309,0.338,
13126,Frankie Montas,14309,sa551258,593423,21 Mar 1993,SP,R,R,18 Jun 2025,Projection,4.17,0.332,0.315,
13335,Eduardo Rodriguez,13164,sa548722,593958,7 Apr 1993,SP,L,L,18 Jun 2025,Projection,3.82,0.295,0.317,
14294,Jacob deGrom,10954,sa548447,594798,19 Jun 1988,RP,L,R,18 Jun 2025,Projection,2.94,0.289,0.269,
14393,Chris Sale,10603,sa392121,519242,30 Mar 1989,SP,L,L,18 Jun 2025,Projection,2.74,0.235,0.285,
14941,Robbie Ray,11486,sa549085,592662,1 Oct 1991,SP,L,L,18 Jun 2025,Projection,3.80,0.272,0.319,
15556,Yu Darvish,13074,sa379610,506433,16 Aug 1986,SP,R,R,18 Jun 2025,Projection,3.81,0.324,0.303,
15962,Zack Wheeler,10310,sa500722,554430,30 May 1990,SP,L,R,18 Jun 2025,Projection,2.90,0.285,0.272,
17763,Merrill Kelly,11156,sa552177,518876,14 Oct 1988,SP,R,R,18 Jun 2025,Projection,3.81,0.314,0.314,
17983,Alex Cobb,6562,sa326698,502171,7 Oct 1987,SP/RP,R,R,18 Jun 2025,Projection,3.40,0.307,0.316,
18113,Sonny Gray,12768,sa455516,543243,7 Nov 1989,SP,R,R,18 Jun 2025,Projection,3.19,0.296,0.292,
18164,Max Fried,13743,sa657860,608331,18 Jan 1994,SP,L,L,18 Jun 2025,Projection,3.11,0.271,0.303,
18171,Michael Wacha,14078,sa621625,608379,1 Jul 1991,SP,R,R,18 Jun 2025,Projection,3.92,0.310,0.322,
18196,Kevin Gausman,14107,sa548347,592332,6 Jan 1991,SP,L,R,18 Jun 2025,Projection,3.55,0.304,0.313,
