Ottoneu ID,Fangraphs ID,Name,Birthday,Positions,Bats,Throws,FIP,wOBA vs LHB,wOBA vs RHB
33198,22343,A.J. Alexy,1998-04-21,RP,R,R,5.696739383786917,0.36664969994442886,0.3504689034941397
23679,18655,A.J. Minter,1993-09-02,RP,L,L,3.527785216844999,0.2811465066113214,0.2951085193389736
23660,19343,A.J. Puk,1995-04-25,RP,L,L,3.4547969193685626,0.26406127307299615,0.2998092367594116
33672,23550,Aaron Ashby,1998-05-24,RP,R,L,3.8567689771427136,0.2838286647175358,0.3155648249679115
29222,16258,Aaron Bummer,1993-09-01,RP,L,L,3.4580631891886395,0.2613038665096309,0.31774507571368676
31750,19479,Aaron Civale,1995-06-12,SP/RP,R,R,4.72704898280164,0.34121529358724856,0.3263749074156167
18357,16149,Aaron Nola,1993-06-04,SP,R,R,3.9536470525972054,0.31320748022689987,0.3028071852197993
14401,11490,Aaron Sanchez,1992-07-01,RP,R,R,5.144976974278689,0.35645555326496753,0.34680730330586207
35602,25327,Abner Uribe,2000-06-20,RP,R,R,3.3531034542454616,0.2974492336639621,0.2840146332128836
19397,15288,Adam Cimber,1990-08-15,RP,R,R,4.774386224150658,0.4004701757133753,0.29853518079295427
35854,24493,Adam Kloffenstein,2000-08-25,SP/RP,R,R,4.137849782407284,0.3212470956447937,0.30660249344511226
14296,10843,Adam Kolarek,1989-01-14,RP,L,L,4.665869463980198,0.28940916138379047,0.37576309403576597
42801,31900,Adam Mazur,2001-04-20,SP/RP,R,R,4.790775310993195,0.34412549886156074,0.327877009722146
31837,20132,Adam Oller,1994-10-17,RP,R,R,4.983568546175957,0.35083632599106657,0.3343108198163415
2014,1247,Adam Ottavino,1985-11-22,RP,B,R,4.154536356031895,0.3490145989197587,0.2954153044618678
23711,15846,Adam Plutko,1991-10-03,SP/RP,R,R,5.018959407508373,0.34561101945844236,0.3339683671232082
18751,17859,Adbert Alzolay,1995-03-01,RP,R,R,4.08240784406662,0.3108276483984633,0.30985346366098765
21855,19903,Adonis Medina,1996-12-18,SP/RP,R,R,4.711119905859232,0.34439752594625184,0.32963036651853644
28712,12718,Adrian Houser,1993-02-02,SP/RP,R,R,4.523288939859416,0.34088867141797236,0.3234317673097847
22569,21023,Adrian Martinez,1996-12-10,RP,R,R,4.589858163893223,0.33788298864817967,0.3221244587701216
23672,20039,Adrian Morejon,1999-02-27,RP,L,L,3.434066903591156,0.28852988104459265,0.2929256195039346
